Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-06-10 18:09 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,64,,,
2020-06-11 15:03 (EDT),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min AHM: Power Zone Endurance Ride,2020-05-28 16:00 (EDT),133,74,40%,58,12.34,6.17,192,,,
2020-06-11 16:57 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 09:00 (EDT),,,,,,,31,,,
2020-06-11 17:31 (EDT),Live,Denis Morton,30,Yoga,Yoga Flow,30 min Reset,2020-06-11 17:19 (EDT),,,,,,,129,,,
2020-06-12 17:15 (EDT),Live,Christine D'Ercole,15,Cycling,Theme,15 min 70s Ride ,2020-06-12 17:05 (EDT),72,80,35%,67,12.88,3.21,104,,,
2020-06-12 18:02 (EDT),On Demand,Rebecca Kennedy,10,Strength,Core,10 min Core Strength,2020-05-26 15:39 (EDT),,,,,,,62,,,
2020-06-13 09:16 (EDT),On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,2019-02-09 12:34 (EDT),554,123,42%,78,17.21,21.52,615,107.26,,
2020-06-13 10:32 (EDT),On Demand,Matt Wilpers,5,Cycling,Low Impact,5 min Cool Down Ride,2020-02-14 14:05 (EDT),13,45,30%,67,10.50,0.87,24,91.61,,
2020-06-14 16:32 (EDT),Live,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2020-06-14 16:20 (EDT),216,129,43%,82,17.83,8.31,266,118.70,,
2020-06-14 17:16 (EDT),On Demand,Denis Morton,30,Yoga,Yoga Flow,30 min Reset,2020-06-11 17:19 (EDT),,,,,,,128,,,
2020-06-15 16:40 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,57,,,
2020-06-16 12:13 (EDT),,,25,Cycling,,25 min 24 sec Just Ride,,125,82,39%,67,14.33,6.07,181,,,
2020-06-17 10:32 (EDT),,,38,Cycling,,38 min 3 sec Just Ride,,167,73,41%,59,13.37,8.48,212,93.23,,
2020-06-17 11:25 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-26 15:19 (EDT),,,,,,,55,,,
2020-06-17 16:36 (EDT),Live,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2020-06-17 16:21 (EDT),100,98,40%,66,14.01,3.96,119,103.98,,
2020-06-18 15:13 (EDT),,,14,Cycling,,14 min 12 sec Just Ride,,57,66,38%,60,12.38,2.96,83,,,
2020-06-18 15:31 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-27 15:43 (EDT),,,,,,,64,,,
2020-06-18 15:44 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,26,,,
2020-06-19 10:33 (EDT),On Demand,Kristin McGee,30,Yoga,Yoga Flow,30 min Yoga Flow: Lower Body,2019-12-16 19:19 (EDT),,,,,,,139,,,
2020-06-20 10:14 (EDT),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2020-03-07 12:35 (EDT),544,151,43%,88,19.10,19.10,579,117.49,,
2020-06-21 17:50 (EDT),On Demand,Kristin McGee,20,Yoga,Restorative Yoga,20 min Restorative Yoga,2020-06-15 17:30 (EDT),,,,,,,50,,,
2020-06-22 15:01 (EDT),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2020-03-12 07:48 (EDT),272,101,42%,68,15.45,11.59,395,,,
2020-06-22 15:55 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,47,,,
2020-06-22 16:03 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,46,,,
2020-06-23 11:45 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-26 15:19 (EDT),,,,,,,64,,,
2020-06-23 11:59 (EDT),On Demand,Denis Morton,20,Yoga,Restorative Yoga,20 min Restorative Yoga,2020-03-03 18:32 (EDT),,,,,,,26,,,
2020-06-23 18:21 (EDT),On Demand,Denis Morton,30,Cycling,Low Impact,30 min Low Impact Ride,2019-08-29 09:18 (EDT),115,64,36%,66,12.79,6.39,162,88.99,,
2020-06-24 22:14 (EDT),On Demand,Hannah Frankson,5,Strength,Upper Body,5 min Arms Toning ,2020-06-15 04:15 (EDT),,,,,,,33,,,
2020-06-25 12:23 (EDT),On Demand,Denis Morton,30,Yoga,Yoga Flow,30 min Reset,2020-06-11 17:19 (EDT),,,,,,,127,,,
